Date,Open,High,Low,Close,Volume
6-Feb-15,269.43,270.3,269.16,270.12,21.543999999999993
6-Feb-15,270.29,270.29,268.8,269.53,53.632311659999985
6-Feb-15,270.31,270.31,269.61,270.3,5.651717700000001
6-Feb-15,270.77,270.94,270.32,270.32,19.038872
6-Feb-15,270.78,271.34,270.39,270.77,37.15297
6-Feb-15,270.4,271.33,270.4,270.68,19.883754350000007
6-Feb-15,270.06,270.4,270.06,270.4,1.8767000000000003
6-Feb-15,270.31,270.36,269.85,270.05,8.4391
6-Feb-15,269.54,270.36,269.54,270.36,75.16210000000002
6-Feb-15,269.98,269.98,269.01,269.54,79.87669999999999
