Date,Open,High,Low,Close,Volume
Mon Jul 06 2015 11:15:00 GMT-0400 (EDT),274.44,274.44,273.71,273.97,27.40220000000003
Mon Jul 06 2015 11:10:00 GMT-0400 (EDT),275.23,275.32,274.01,274.1,84.18430000000005
Mon Jul 06 2015 11:05:00 GMT-0400 (EDT),275.59,275.72,275.14,275.23,34.68667000000002
Mon Jul 06 2015 11:00:00 GMT-0400 (EDT),275.51,275.91,275.12,275.5,23.763157010000004
Mon Jul 06 2015 10:55:00 GMT-0400 (EDT),275.81,276.18,275.5,275.5,49.67919999999995
Mon Jul 06 2015 10:50:00 GMT-0400 (EDT),275.78,276,275.67,275.8,17.890616770000012
Mon Jul 06 2015 10:45:00 GMT-0400 (EDT),275.5,276.08,275.23,275.99,130.16950000000003
Mon Jul 06 2015 10:40:00 GMT-0400 (EDT),276.12,276.12,275.49,275.5,50.00488038000001
Mon Jul 06 2015 10:35:00 GMT-0400 (EDT),276.51,276.51,275.78,276.12,60.7915
Mon Jul 06 2015 10:30:00 GMT-0400 (EDT),276.5,277.16,276.44,276.57,56.006480000000025
Mon Jul 06 2015 10:25:00 GMT-0400 (EDT),275.87,276.5,275.78,276.5,82.28638000000001
Mon Jul 06 2015 10:20:00 GMT-0400 (EDT),276.03,276.44,275.78,275.88,59.53849999999996
Mon Jul 06 2015 10:15:00 GMT-0400 (EDT),275.87,276.22,275.87,275.9,47.61180000000005
Mon Jul 06 2015 10:10:00 GMT-0400 (EDT),275.67,275.88,275.66,275.88,20.943243999999996
Mon Jul 06 2015 10:05:00 GMT-0400 (EDT),274.99,275.68,274.99,275.61,24.67700000000005
Mon Jul 06 2015 10:00:00 GMT-0400 (EDT),274.99,275,274.95,275,18.3636
Mon Jul 06 2015 09:55:00 GMT-0400 (EDT),274.56,275,274.52,275,13.976799999999999
Mon Jul 06 2015 09:50:00 GMT-0400 (EDT),274.56,274.76,273.98,274.76,51.54360000000002
Mon Jul 06 2015 09:45:00 GMT-0400 (EDT),275.55,275.79,274.22,274.22,25.6491
Mon Jul 06 2015 09:40:00 GMT-0400 (EDT),275.58,275.82,275.52,275.54,8.838425589999996
Mon Jul 06 2015 09:35:00 GMT-0400 (EDT),275.83,275.88,275.58,275.59,28.952571030000037
Mon Jul 06 2015 09:30:00 GMT-0400 (EDT),275.87,275.88,275.77,275.86,21.312899999999996
Mon Jul 06 2015 09:25:00 GMT-0400 (EDT),275.71,275.88,275.58,275.88,20.246299999999994
Mon Jul 06 2015 09:20:00 GMT-0400 (EDT),277.2,277.2,275.69,275.75,54.58513486999993
Mon Jul 06 2015 09:15:00 GMT-0400 (EDT),277,277.88,276.92,277.02,62.35039999999992
Mon Jul 06 2015 09:10:00 GMT-0400 (EDT),276.21,277,275.51,277,135.62167584999992
Mon Jul 06 2015 09:05:00 GMT-0400 (EDT),275,276.47,274.97,276.09,32.72964542000001
Mon Jul 06 2015 09:00:00 GMT-0400 (EDT),274.73,275,274.73,275,38.296899999999994
Mon Jul 06 2015 08:55:00 GMT-0400 (EDT),274.71,274.87,274.62,274.76,12.550499999999992
Mon Jul 06 2015 08:50:00 GMT-0400 (EDT),274.71,274.71,274.56,274.71,11.385900000000001
Mon Jul 06 2015 08:45:00 GMT-0400 (EDT),274.87,274.87,274.7,274.71,25.195649970000016
Mon Jul 06 2015 08:40:00 GMT-0400 (EDT),274.71,274.9,274.38,274.89,78.71927977999998
Mon Jul 06 2015 08:35:00 GMT-0400 (EDT),273.89,274.83,273.89,274.66,15.935299999999996
Mon Jul 06 2015 08:30:00 GMT-0400 (EDT),274.31,274.31,273.74,273.89,16.3221
Mon Jul 06 2015 08:25:00 GMT-0400 (EDT),273.57,274.39,273.56,274.33,18.807999999999996
